Timestamp,Close,xg_boost_buy,reg_log_buy,SVC_buy,xg_boost_sell,reg_log_sell,SVC_sell
1609778700,129.413299,True,True,True,False,False,True
1609779000,129.148498,True,True,True,False,False,True
1609779300,128.820007,True,True,True,False,False,True
1609779600,128.580001,True,True,True,False,False,True
1609779900,128.351699,True,True,True,False,False,True
1609780200,127.410003,True,True,True,False,False,True
1609780500,128.005004,True,True,True,False,False,True
1609780800,128.289993,True,True,True,False,False,True
1609781100,128.25,True,True,True,False,False,True
1609781400,128.119995,True,True,True,False,False,True
1609781700,127.955001,True,True,True,False,False,True
1609782000,127.980003,True,True,True,False,False,True
1609782300,127.710098,True,True,True,False,False,True
1609782600,128.229995,True,True,True,False,False,True
1609782900,128.419998,True,True,True,False,False,True
1609783200,128.320007,True,True,True,False,False,True
1609783500,128.565002,True,True,True,False,False,True
1609783800,128.779998,True,True,True,False,False,True
1609784100,128.755004,True,True,True,False,False,True
1609784400,129.050003,True,True,True,True,False,True
1609784700,129.039794,True,True,True,True,False,True
1609785000,128.652999,True,True,True,False,False,True
1609785300,128.807601,True,True,True,False,False,True
1609785600,128.869995,True,True,True,True,False,True
1609785900,128.946792,True,True,True,True,False,True
1609786200,129.169998,True,True,True,True,False,True
1609786500,129.177795,True,True,True,True,False,True
1609786800,129.089996,True,True,True,True,False,True
1609787100,128.75,True,True,True,False,False,True
1609787400,128.914993,True,True,True,True,False,True
1609787700,129.050003,True,True,True,True,False,True
1609788000,129.11,True,True,True,True,False,True
1609788300,128.960006,True,True,True,True,False,True
1609788600,128.869995,True,True,True,True,False,True
1609788900,129.059005,True,True,True,True,False,True
1609789200,129.050003,True,True,True,True,False,True
1609789500,129.005493,True,True,True,True,False,True
1609789800,128.725006,True,True,True,True,False,True
1609790100,129.487594,True,True,True,True,False,True
1609790400,129.169998,True,True,True,True,False,True
1609790700,129.220993,True,True,True,True,False,True
1609791000,129.205001,True,True,True,True,False,True
1609791300,128.934997,True,True,True,True,False,True
1609791600,128.990097,True,True,True,True,False,True
1609791900,129.070007,True,True,True,True,False,True
1609792200,129.080093,True,True,True,True,False,True
1609792500,129.36,True,True,True,True,False,True
1609792800,129.279998,True,True,True,True,False,True
1609793100,129.419998,True,True,True,True,False,True
1609793400,129.440093,True,True,True,True,False,True
1609793700,129.410003,True,True,True,True,False,True
1609857000,130.490005,True,True,True,False,False,True
1609857300,130.705001,True,True,True,False,False,True
1609857600,131.225006,True,True,True,False,False,True
1609857900,130.820007,True,True,True,False,False,True
1609858200,131.422302,True,True,True,False,False,True
1609858500,131.310394,True,True,True,False,False,True
1609858800,131.190093,True,True,True,False,False,True
